id,amount,status,user_id,payment_method_id,inserted_at,updated_at,amount_paid,fee,exchange_rate,deposit_type,dollar_instant_deposit_fee,dollar_processing_fee,currency
256014,20,Deleted,166232,7,2021-05-11T07:46:20.000Z,2021-05-11T07:46:37.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
255928,20,Deleted,166059,4,2021-05-11T01:49:36.000Z,2021-05-11T01:50:35.000Z,20.58,0.58,,standard,0,0.58,USD
255929,200,Deleted,166054,7,2021-05-11T01:49:48.000Z,2021-05-11T01:50:35.000Z,99350,0.31,$1/₦496.0,standard,0,0.31,NGN
64070,100,Rejected,46043,1,2020-08-04T14:48:12.000Z,2020-08-04T15:06:07.000Z,48441.82,1.4,$1/₦477.73,standard,0,1.4,
255930,20,Deleted,166020,1,2021-05-11T01:56:33.000Z,2021-05-11T01:56:35.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255931,100,Deleted,118185,7,2021-05-11T02:00:17.000Z,2021-05-11T02:00:35.000Z,50246,1.31,$1/₦496.0,instant,1,0.31,NGN
255932,20,Deleted,148701,7,2021-05-11T02:04:59.000Z,2021-05-11T02:05:36.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
255933,100,Settlemented,118185,7,2021-05-11T02:06:02.000Z,2021-05-12T13:14:25.000Z,49750,0.31,$1/₦496.0,standard,0,0.31,NGN
108739,200,Settlemented,421,6,2020-11-17T12:19:32.000Z,2020-11-17T16:19:46.000Z,200,0,,standard,0,0,
255934,25,Deleted,47621,4,2021-05-11T02:28:30.000Z,2021-05-11T02:30:36.000Z,25.73,0.73,,standard,0,0.73,USD
73307,75,Rejected,47419,4,2020-08-23T10:39:21.000Z,2020-08-23T11:20:39.000Z,77.18,2.18,,standard,0,2.18,
255935,20,Deleted,157533,2,2021-05-11T02:28:50.000Z,2021-05-11T02:30:36.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256020,1000,Deleted,159409,2,2021-05-11T07:52:33.000Z,2021-05-11T07:55:40.000Z,498000,4.04,$1/₦496.0,standard,0,4.04,NGN
256079,21,Deleted,150053,7,2021-05-11T09:02:56.000Z,2021-05-11T09:03:27.000Z,10566,0.31,$1/₦496.0,standard,0,0.31,NGN
255936,25,Deleted,47621,7,2021-05-11T02:33:06.000Z,2021-05-11T02:35:36.000Z,12550,0.31,$1/₦496.0,standard,0,0.31,NGN
255937,155,Deleted,166064,1,2021-05-11T02:33:23.000Z,2021-05-11T02:35:36.000Z,77956.32,2.17,$1/₦496.0,standard,0,2.17,NGN
255938,20,Deleted,157533,1,2021-05-11T02:46:48.000Z,2021-05-11T02:47:00.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255939,25,Settlemented,47621,7,2021-05-11T02:51:38.000Z,2021-05-12T13:14:28.000Z,12550,0.31,$1/₦496.0,standard,0,0.31,NGN
255967,20,Deleted,165230,2,2021-05-11T05:35:20.000Z,2021-05-11T05:35:37.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255940,20,Settlemented,7094,1,2021-05-11T03:25:51.000Z,2021-05-11T03:28:24.000Z,10554.88,1.29,$1/₦496.0,instant,1,0.28,NGN
255941,20,Deleted,166066,7,2021-05-11T03:26:37.000Z,2021-05-11T03:26:38.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
255942,20,Deleted,160514,1,2021-05-11T03:40:25.000Z,2021-05-11T03:40:36.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255943,20,Rejected,150927,2,2021-05-11T03:48:37.000Z,2021-05-11T03:50:07.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255944,40,Deleted,149712,7,2021-05-11T03:53:52.000Z,2021-05-11T03:55:10.000Z,19990,0.31,$1/₦496.0,standard,0,0.31,NGN
255945,40,Settlemented,149712,1,2021-05-11T03:56:56.000Z,2021-05-12T13:14:31.000Z,20117.76,0.56,$1/₦496.0,standard,0,0.56,NGN
255946,20,Deleted,165378,1,2021-05-11T04:00:27.000Z,2021-05-11T04:00:36.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
69769,74,Rejected,50203,4,2020-08-17T09:13:36.000Z,2020-08-17T09:15:43.000Z,76.15,2.15,,standard,0,2.15,
255947,1000,Deleted,42357,7,2021-05-11T04:04:26.000Z,2021-05-11T04:05:37.000Z,496646,1.31,$1/₦496.0,instant,1,0.31,NGN
255948,100,Deleted,166092,2,2021-05-11T04:09:20.000Z,2021-05-11T04:10:37.000Z,50294.4,1.4,$1/₦496.0,standard,0,1.4,NGN
64069,20,Deleted,48879,1,2020-08-04T14:48:09.000Z,2020-08-04T14:48:23.000Z,9688.37,0.28,$1/₦477.73,standard,0,0.28,
255949,20,Deleted,166099,1,2021-05-11T04:20:56.000Z,2021-05-11T04:21:00.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255950,111,Deleted,166113,7,2021-05-11T04:29:54.000Z,2021-05-11T04:30:37.000Z,55206,0.31,$1/₦496.0,standard,0,0.31,NGN
255951,100,Deleted,165493,7,2021-05-11T04:43:01.000Z,2021-05-11T04:45:37.000Z,49750,0.31,$1/₦496.0,standard,0,0.31,NGN
255952,100,Deleted,115114,4,2021-05-11T04:45:43.000Z,2021-05-11T04:46:00.000Z,103.9,3.9,,instant,1,2.9,USD
255953,20,Deleted,165493,1,2021-05-11T04:47:19.000Z,2021-05-11T04:47:26.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255954,20,Settlemented,69482,1,2021-05-11T04:48:29.000Z,2021-05-12T13:14:33.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255955,90,Settlemented,115114,4,2021-05-11T04:48:40.000Z,2021-05-11T04:49:49.000Z,93.61,3.61,,instant,1,2.61,USD
255956,20,Settlemented,165493,7,2021-05-11T04:49:10.000Z,2021-05-12T13:14:35.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
73361,20,Rejected,47419,4,2020-08-23T14:09:43.000Z,2020-08-23T14:20:41.000Z,20.58,0.58,,standard,0,0.58,
255957,20,Deleted,165493,7,2021-05-11T04:56:30.000Z,2021-05-11T04:56:36.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
255958,60,Settlemented,78453,1,2021-05-11T05:02:08.000Z,2021-05-11T05:03:15.000Z,30672.64,1.85,$1/₦496.0,instant,1,0.84,NGN
77606,2000,Deleted,46281,4,2020-08-30T09:50:52.000Z,2020-08-30T10:23:09.000Z,2060,60,,instant,2,58,
255959,2000,Deleted,164924,7,2021-05-11T05:02:39.000Z,2021-05-11T05:03:03.000Z,992150,0.31,$1/₦496.0,standard,0,0.31,NGN
255960,20,Deleted,166126,7,2021-05-11T05:13:12.000Z,2021-05-11T05:15:37.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
255961,50,Deleted,166128,2,2021-05-11T05:21:37.000Z,2021-05-11T05:21:39.000Z,25147.2,0.7,$1/₦496.0,standard,0,0.7,NGN
256007,40,Deleted,161700,1,2021-05-11T07:40:16.000Z,2021-05-11T07:40:39.000Z,20117.76,0.56,$1/₦496.0,standard,0,0.56,NGN
255962,20,Deleted,30925,1,2021-05-11T05:21:55.000Z,2021-05-11T05:22:01.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255963,20,Deleted,30925,7,2021-05-11T05:25:38.000Z,2021-05-11T05:26:00.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
255964,500,Deleted,166133,1,2021-05-11T05:29:58.000Z,2021-05-11T05:30:37.000Z,250000,4.04,$1/₦496.0,standard,0,4.04,NGN
255965,125,Deleted,166133,1,2021-05-11T05:31:13.000Z,2021-05-11T05:31:36.000Z,62868,1.75,$1/₦496.0,standard,0,1.75,NGN
255966,20,Deleted,162639,2,2021-05-11T05:32:11.000Z,2021-05-11T05:32:27.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255998,20,Deleted,166207,1,2021-05-11T07:23:29.000Z,2021-05-11T07:25:39.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255968,200,Settlemented,158670,1,2021-05-11T05:35:47.000Z,2021-05-12T13:15:48.000Z,100588.8,2.8,$1/₦496.0,standard,0,2.8,NGN
67702,1000,Rejected,25571,4,2020-08-11T18:23:40.000Z,2020-08-11T19:20:58.000Z,1029,29,,standard,0,29,
255969,20,Settlemented,162446,1,2021-05-11T05:38:44.000Z,2021-05-12T13:15:45.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255970,20,Deleted,165435,4,2021-05-11T05:49:42.000Z,2021-05-11T05:50:38.000Z,20.58,0.58,,standard,0,0.58,USD
255971,50,Deleted,166108,4,2021-05-11T05:53:59.000Z,2021-05-11T05:55:38.000Z,51.45,1.45,,standard,0,1.45,USD
255972,20,Deleted,162639,1,2021-05-11T05:54:10.000Z,2021-05-11T05:55:38.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
73421,25,Deleted,47419,4,2020-08-23T17:04:19.000Z,2020-08-23T17:20:44.000Z,25.73,0.73,,standard,0,0.73,
255973,50,Deleted,166108,1,2021-05-11T05:54:48.000Z,2021-05-11T05:55:38.000Z,25147.2,0.7,$1/₦496.0,standard,0,0.7,NGN
255974,20,Settlemented,36206,1,2021-05-11T05:59:10.000Z,2021-05-12T13:15:08.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
64122,30,Deleted,44943,7,2020-08-04T15:55:25.000Z,2020-08-04T16:06:09.000Z,14481.91,0.32,$1/₦477.73,standard,0,0.32,
255975,20,Rejected,120855,1,2021-05-11T06:01:04.000Z,2021-05-11T06:01:37.000Z,10554.88,1.29,$1/₦496.0,instant,1,0.28,NGN
255976,65.92,Deleted,166150,2,2021-05-11T06:01:09.000Z,2021-05-11T06:01:37.000Z,33154.07,0.93,$1/₦496.0,standard,0,0.93,NGN
255977,60,Deleted,148057,7,2021-05-11T06:04:21.000Z,2021-05-11T06:05:38.000Z,29910,0.31,$1/₦496.0,standard,0,0.31,NGN
255978,20,Deleted,165353,1,2021-05-11T06:05:22.000Z,2021-05-11T06:05:38.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255979,20,Deleted,165353,2,2021-05-11T06:05:55.000Z,2021-05-11T06:06:00.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
106303,100,Deleted,38942,4,2020-11-10T15:41:43.000Z,2020-11-10T15:43:19.000Z,102.9,2.9,,standard,0,2.9,
255980,25,Settlemented,30390,1,2021-05-11T06:07:14.000Z,2021-05-11T06:08:34.000Z,13069.6,1.36,$1/₦496.0,instant,1,0.35,NGN
256095,80,Settlemented,29801,7,2021-05-11T09:34:37.000Z,2021-05-12T13:12:21.000Z,39830,0.31,$1/₦496.0,standard,0,0.31,NGN
255981,65.92,Deleted,166150,7,2021-05-11T06:09:17.000Z,2021-05-11T06:10:38.000Z,32846.32,0.31,$1/₦496.0,standard,0,0.31,NGN
255982,61,Settlemented,56853,7,2021-05-11T06:10:48.000Z,2021-05-12T13:15:05.000Z,30406,0.31,$1/₦496.0,standard,0,0.31,NGN
255983,20,Deleted,56407,1,2021-05-11T06:11:42.000Z,2021-05-11T06:12:01.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256068,1000,Deleted,166239,3,2021-05-11T08:42:48.000Z,2021-05-11T08:45:30.000Z,498000,4.04,$1/₦496.0,standard,0,4.04,NGN
255984,60,Settlemented,148057,7,2021-05-11T06:14:17.000Z,2021-05-12T13:15:02.000Z,29910,0.31,$1/₦496.0,standard,0,0.31,NGN
255985,105,Deleted,151146,7,2021-05-11T06:16:59.000Z,2021-05-11T06:17:01.000Z,52230,0.31,$1/₦496.0,standard,0,0.31,NGN
255999,1000,Deleted,153625,7,2021-05-11T07:25:38.000Z,2021-05-11T07:25:39.000Z,496150,0.31,$1/₦496.0,standard,0,0.31,NGN
73530,20,Deleted,49907,4,2020-08-24T07:48:20.000Z,2020-08-24T08:20:51.000Z,20.58,0.58,,standard,0,0.58,
255986,20,Deleted,166131,1,2021-05-11T06:26:37.000Z,2021-05-11T06:26:39.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256004,100,Settlemented,103676,1,2021-05-11T07:35:23.000Z,2021-05-11T07:39:38.000Z,50790.4,2.41,$1/₦496.0,instant,1,1.4,NGN
255987,100,Settlemented,125847,1,2021-05-11T06:35:04.000Z,2021-05-12T13:14:56.000Z,50294.4,1.4,$1/₦496.0,standard,0,1.4,NGN
255988,20,Deleted,166171,1,2021-05-11T06:35:14.000Z,2021-05-11T06:35:38.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
64150,44,Deleted,48553,1,2020-08-04T16:33:59.000Z,2020-08-04T17:06:10.000Z,21314.41,0.62,$1/₦477.73,standard,0,0.62,
255989,20,Settlemented,163197,1,2021-05-11T06:45:21.000Z,2021-05-12T13:14:54.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256023,20,Deleted,166004,1,2021-05-11T07:55:11.000Z,2021-05-11T07:55:40.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255990,20,Settlemented,146188,1,2021-05-11T06:46:06.000Z,2021-05-12T13:14:51.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255991,20,Deleted,166190,7,2021-05-11T06:56:00.000Z,2021-05-11T06:56:01.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
255992,20000,Deleted,166171,1,2021-05-11T07:04:13.000Z,2021-05-11T07:05:39.000Z,9922000,4.04,$1/₦496.0,standard,0,4.04,NGN
255993,20,Settlemented,166190,7,2021-05-11T07:08:59.000Z,2021-05-12T13:14:48.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
255862,50,Settlemented,165867,1,2021-05-10T21:33:54.000Z,2021-05-12T13:11:51.000Z,25147.2,0.7,$1/₦496.0,standard,0,0.7,NGN
255994,1000,Rejected,108013,1,2021-05-11T07:19:02.000Z,2021-05-11T07:20:39.000Z,498000,4.04,$1/₦496.0,standard,0,4.04,NGN
64167,822.34,Rejected,35741,4,2020-08-04T17:31:06.000Z,2020-08-04T18:06:11.000Z,846.19,23.85,,standard,0,23.85,
255995,20,Deleted,163175,1,2021-05-11T07:19:25.000Z,2021-05-11T07:20:39.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
83998,3000,Rejected,48759,4,2020-09-07T10:45:53.000Z,2020-09-07T11:39:51.000Z,3087,87,,instant,0,87,
255996,20,Deleted,165777,7,2021-05-11T07:19:51.000Z,2021-05-11T07:20:39.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
64169,500,Deleted,34208,4,2020-08-04T17:34:19.000Z,2020-08-04T18:06:11.000Z,514.5,14.5,,standard,0,14.5,
255997,580,Settlemented,96108,1,2021-05-11T07:22:10.000Z,2021-05-12T13:14:46.000Z,289680,4.04,$1/₦496.0,standard,0,4.04,NGN
256000,20,Deleted,155763,1,2021-05-11T07:28:23.000Z,2021-05-11T07:30:39.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256001,20,Deleted,162457,1,2021-05-11T07:29:57.000Z,2021-05-11T07:30:39.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
73563,73,Rejected,52073,4,2020-08-24T09:06:06.000Z,2020-08-24T10:07:40.000Z,75.12,2.12,,standard,0,2.12,
256002,50,Deleted,166212,4,2021-05-11T07:30:37.000Z,2021-05-11T07:30:39.000Z,51.45,1.45,,standard,0,1.45,USD
256003,50,Settlemented,160466,7,2021-05-11T07:33:17.000Z,2021-05-12T13:14:42.000Z,24950,0.31,$1/₦496.0,standard,0,0.31,NGN
256005,20,Deleted,157208,7,2021-05-11T07:37:10.000Z,2021-05-11T07:37:28.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
64185,2000,Rejected,41107,4,2020-08-04T17:58:19.000Z,2020-08-04T18:06:11.000Z,2058,58,,standard,0,58,
256006,20,Settlemented,97878,1,2021-05-11T07:40:04.000Z,2021-05-12T13:14:39.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256008,20,Deleted,114886,1,2021-05-11T07:40:54.000Z,2021-05-11T07:41:01.000Z,10554.88,1.29,$1/₦496.0,instant,1,0.28,NGN
256009,20,Rejected,124892,1,2021-05-11T07:41:25.000Z,2021-05-11T07:44:31.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256010,400,Deleted,38697,7,2021-05-11T07:41:55.000Z,2021-05-11T07:42:02.000Z,198550,0.31,$1/₦496.0,standard,0,0.31,NGN
256011,210,Settlemented,164816,7,2021-05-11T07:43:52.000Z,2021-05-12T13:12:41.000Z,104310,0.31,$1/₦496.0,standard,0,0.31,NGN
256012,100,Deleted,70887,7,2021-05-11T07:45:23.000Z,2021-05-11T07:45:39.000Z,49750,0.31,$1/₦496.0,standard,0,0.31,NGN
256013,20,Deleted,161206,2,2021-05-11T07:46:12.000Z,2021-05-11T07:46:36.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256022,20,Deleted,151751,1,2021-05-11T07:54:29.000Z,2021-05-11T07:55:40.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256015,20,Deleted,73455,1,2021-05-11T07:46:52.000Z,2021-05-11T07:47:02.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256016,20,Deleted,161206,7,2021-05-11T07:46:56.000Z,2021-05-11T07:47:02.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
256017,500,Deleted,28178,7,2021-05-11T07:47:15.000Z,2021-05-11T07:47:28.000Z,248646,1.31,$1/₦496.0,instant,1,0.31,NGN
256018,20,Deleted,166226,1,2021-05-11T07:47:28.000Z,2021-05-11T07:50:40.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256019,20,Rejected,114886,1,2021-05-11T07:48:06.000Z,2021-05-11T07:50:40.000Z,10554.88,1.29,$1/₦496.0,instant,1,0.28,NGN
256021,100,Deleted,166238,7,2021-05-11T07:54:18.000Z,2021-05-11T07:55:37.000Z,49750,0.31,$1/₦496.0,standard,0,0.31,NGN
63241,50,Settlemented,48045,4,2020-08-03T13:17:49.000Z,2020-08-04T18:48:55.000Z,51.45,1.45,,standard,0,1.45,
256024,22,Settlemented,85758,1,2021-05-11T07:55:22.000Z,2021-05-12T13:12:40.000Z,11064.77,0.31,$1/₦496.0,standard,0,0.31,NGN
256025,1000,Deleted,153625,7,2021-05-11T07:56:40.000Z,2021-05-11T07:57:02.000Z,496150,0.31,$1/₦496.0,standard,0,0.31,NGN
256026,20,Deleted,166226,1,2021-05-11T07:56:58.000Z,2021-05-11T07:57:02.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256027,1000,Deleted,153625,7,2021-05-11T07:57:04.000Z,2021-05-11T07:57:28.000Z,496150,0.31,$1/₦496.0,standard,0,0.31,NGN
256028,200,Rejected,38562,4,2021-05-11T07:58:21.000Z,2021-05-11T08:00:40.000Z,206.8,6.8,,instant,1,5.8,USD
256029,200,Deleted,166004,7,2021-05-11T08:01:41.000Z,2021-05-11T08:02:02.000Z,99350,0.31,$1/₦496.0,standard,0,0.31,NGN
256030,100,Deleted,62781,7,2021-05-11T08:02:26.000Z,2021-05-11T08:02:28.000Z,49750,0.31,$1/₦496.0,standard,0,0.31,NGN
256031,200,Deleted,166243,7,2021-05-11T08:03:11.000Z,2021-05-11T08:05:40.000Z,99350,0.31,$1/₦496.0,standard,0,0.31,NGN
256032,100,Deleted,164649,7,2021-05-11T08:03:34.000Z,2021-05-11T08:05:40.000Z,49750,0.31,$1/₦496.0,standard,0,0.31,NGN
256033,20,Deleted,165230,1,2021-05-11T08:05:50.000Z,2021-05-11T08:06:01.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256034,210,Rejected,158392,4,2021-05-11T08:06:54.000Z,2021-05-11T08:09:45.000Z,216.09,6.09,,standard,0,6.09,USD
256035,20,Deleted,165230,1,2021-05-11T08:07:01.000Z,2021-05-11T08:07:02.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256036,20,Deleted,166241,7,2021-05-11T08:08:33.000Z,2021-05-11T08:10:40.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
256037,100,Deleted,162304,7,2021-05-11T08:10:39.000Z,2021-05-11T08:10:40.000Z,49750,0.31,$1/₦496.0,standard,0,0.31,NGN
64278,20,Rejected,49761,4,2020-08-05T01:31:17.000Z,2020-08-05T02:06:13.000Z,20.58,0.58,,standard,0,0.58,
256038,210,Deleted,158392,2,2021-05-11T08:10:53.000Z,2021-05-11T08:11:01.000Z,105618.24,2.94,$1/₦496.0,standard,0,2.94,NGN
256039,10000,Rejected,163651,1,2021-05-11T08:12:16.000Z,2021-05-11T08:16:32.000Z,4962000,4.04,$1/₦496.0,standard,0,4.04,NGN
256040,200,Settlemented,158392,1,2021-05-11T08:13:15.000Z,2021-05-12T13:12:37.000Z,100588.8,2.8,$1/₦496.0,standard,0,2.8,NGN
256041,20,Deleted,166014,7,2021-05-11T08:14:04.000Z,2021-05-11T08:15:40.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
256042,20,Deleted,166233,2,2021-05-11T08:14:40.000Z,2021-05-11T08:15:41.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256043,500,Settlemented,146645,7,2021-05-11T08:14:49.000Z,2021-05-12T13:12:35.000Z,248150,0.31,$1/₦496.0,standard,0,0.31,NGN
256044,1000,Deleted,166239,3,2021-05-11T08:16:43.000Z,2021-05-11T08:17:02.000Z,498000,4.04,$1/₦496.0,standard,0,4.04,NGN
256045,5000,Deleted,163651,7,2021-05-11T08:17:15.000Z,2021-05-11T08:17:28.000Z,2480150,0.31,$1/₦496.0,standard,0,0.31,NGN
64287,2500,Deleted,49300,4,2020-08-05T03:26:18.000Z,2020-08-05T04:06:14.000Z,2572.5,72.5,,standard,0,72.5,
256046,20,Deleted,164710,7,2021-05-11T08:17:42.000Z,2021-05-11T08:20:40.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
256047,1000,Deleted,166239,1,2021-05-11T08:17:53.000Z,2021-05-11T08:20:41.000Z,498000,4.04,$1/₦496.0,standard,0,4.04,NGN
256048,601,Settlemented,14908,7,2021-05-11T08:18:50.000Z,2021-05-11T08:22:52.000Z,298742,1.31,$1/₦496.0,instant,1,0.31,NGN
256049,30,Deleted,158113,1,2021-05-11T08:18:52.000Z,2021-05-11T08:20:41.000Z,15088.32,0.42,$1/₦496.0,standard,0,0.42,NGN
256050,30,Settlemented,158113,7,2021-05-11T08:20:02.000Z,2021-05-12T13:12:32.000Z,15030,0.31,$1/₦496.0,standard,0,0.31,NGN
256051,20,Deleted,165230,7,2021-05-11T08:20:19.000Z,2021-05-11T08:20:41.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
256052,1000,Deleted,166239,7,2021-05-11T08:20:21.000Z,2021-05-11T08:20:41.000Z,496150,0.31,$1/₦496.0,standard,0,0.31,NGN
256053,20,Deleted,165230,7,2021-05-11T08:22:15.000Z,2021-05-11T08:25:30.000Z,10070,0.31,$1/₦496.0,standard,0,0.31,NGN
256054,500,Rejected,146645,2,2021-05-11T08:22:20.000Z,2021-05-11T08:25:30.000Z,250000,4.04,$1/₦496.0,standard,0,4.04,NGN
84126,88,Deleted,50692,4,2020-09-07T15:36:21.000Z,2020-09-07T15:38:03.000Z,91.55,3.55,,instant,1,2.55,
256055,500,Deleted,146645,7,2021-05-11T08:23:43.000Z,2021-05-11T08:25:30.000Z,248150,0.31,$1/₦496.0,standard,0,0.31,NGN
256056,100,Deleted,102731,1,2021-05-11T08:24:19.000Z,2021-05-11T08:25:30.000Z,50294.4,1.4,$1/₦496.0,standard,0,1.4,NGN
256057,20,Deleted,162343,2,2021-05-11T08:25:03.000Z,2021-05-11T08:25:30.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256058,140,Rejected,101191,2,2021-05-11T08:26:28.000Z,2021-05-11T08:31:00.000Z,70412.16,1.96,$1/₦496.0,standard,0,1.96,NGN
256059,500,Deleted,146645,7,2021-05-11T08:27:51.000Z,2021-05-11T08:30:30.000Z,248150,0.31,$1/₦496.0,standard,0,0.31,NGN
256060,20,Deleted,121992,1,2021-05-11T08:30:01.000Z,2021-05-11T08:30:30.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
256061,150,Deleted,166217,1,2021-05-11T08:32:09.000Z,2021-05-11T08:35:30.000Z,75441.6,2.1,$1/₦496.0,standard,0,2.1,NGN
256062,20,Deleted,160978,2,2021-05-11T08:32:28.000Z,2021-05-11T08:32:54.000Z,10058.88,0.28,$1/₦496.0,standard,0,0.28,NGN
255699,200,Settlemented,56345,7,2021-05-10T17:20:39.000Z,2021-05-10T17:43:09.000Z,99846,1.31,$1/₦496.0,instant,1,0.31,NGN
255760,500,Settlemented,156652,1,2021-05-10T19:08:59.000Z,2021-05-10T19:11:28.000Z,250496,5.04,$1/₦496.0,instant,1,4.04,NGN
255798,145,Settlemented,75673,4,2021-05-10T19:53:50.000Z,2021-05-10T19:55:11.000Z,150.21,5.21,,instant,1,4.21,USD
256063,41,Deleted,157648,7,2021-05-11T08:35:29.000Z,2021-05-11T08:35:30.000Z,20486,0.31,$1/₦496.0,standard,0,0.31,NGN
64298,100,Deleted,21035,1,2020-08-05T04:53:50.000Z,2020-08-05T05:06:15.000Z,48544.24,1.41,$1/₦478.74,standard,0,1.41,
