id,price_per_share,side,stock_symbol,transaction_value,type,user_id,quantity,inserted_at,updated_at,naira_fee,dollar_fee,status
510346,18.835,BUY,AG,495,MARKET,28893,26.21822,2021-01-29T14:55:37.000Z,2021-01-29T15:07:51.000Z,2393.9,5,Filled
512655,332.905,BUY,GME,246.25,MARKET,26357,0.741717,2021-01-29T16:42:56.000Z,2021-01-29T16:42:56.000Z,1818,3.75,Filled
513095,23.78,BUY,TTCF,49.25,MARKET,98278,2.075432,2021-01-29T17:07:39.000Z,2021-01-29T17:08:50.000Z,363.6,0.75,Filled
514537,4.59,BUY,CRNT,9.85,MARKET,68854,2.145969,2021-01-29T18:36:37.000Z,2021-01-29T18:36:38.000Z,72.72,0.15,Filled
515105,20,BUY,RIOT,300,LIMIT,19217,15,2021-01-29T19:22:28.000Z,2021-01-29T19:49:13.000Z,2181.6,4.5,Filled
515501,283,BUY,GME,9.85,MARKET,33073,0.03543,2021-01-29T19:57:42.000Z,2021-01-29T19:57:43.000Z,72.72,0.15,Filled
516005,1.86,BUY,TOUR,1.97,MARKET,42725,1.059139967,2021-01-29T20:49:15.000Z,2021-01-29T20:49:15.000Z,14.54,0.03,Filled
512379,4.9,BUY,SNCR,19.6,LIMIT,48099,4,2021-01-29T16:26:52.000Z,2021-01-29T21:17:41.000Z,140.59,0.29,Canceled
516296,325,SELL,GME,0.975,MARKET,79518,0.003,2021-01-29T21:54:49.000Z,2021-02-01T14:32:11.000Z,4.85,0.01,Filled
516526,116.94,BUY,BNTX,11.78,MARKET,96716,0.100771002,2021-01-30T09:56:27.000Z,2021-02-01T14:33:38.000Z,87,0.18,Filled
510949,174.73,SELL,MRNA,383.04474,MARKET,49451,2.1810999,2021-01-29T15:14:07.000Z,2021-01-29T15:22:39.000Z,2787.6,5.75,Rejected
511562,13.38,BUY,AMC,492.5,MARKET,24792,37.3106041,2021-01-29T15:43:39.000Z,2021-01-29T15:45:24.000Z,3636,7.5,Filled
511609,43.93,BUY,FUBO,10.84,MARKET,26501,0.243483007,2021-01-29T15:45:46.000Z,2021-01-29T15:47:18.000Z,77.57,0.16,Filled
512656,1.76,BUY,PHUN,86.68,MARKET,81432,49.25,2021-01-29T16:42:57.000Z,2021-01-29T16:43:02.000Z,639.94,1.32,Filled
513831,13.35,SELL,AMC,27.4721095,MARKET,69012,1.9979716,2021-01-29T17:49:55.000Z,2021-01-29T17:53:35.000Z,198.77,0.41,Filled
514546,297.98,BUY,GME,9.85,MARKET,98560,0.034635998,2021-01-29T18:37:14.000Z,2021-01-29T18:37:15.000Z,72.72,0.15,Filled
514826,12.03,BUY,VFF,1.99,MARKET,95742,0.165395007,2021-01-29T18:55:57.000Z,2021-01-29T18:55:57.000Z,14.54,0.03,Filled
515146,2.22,BUY,KOS,1485,MARKET,24819,667.4157104,2021-01-29T19:25:30.000Z,2021-01-29T19:25:30.000Z,7272,15,Filled
513693,85.06,BUY,DQ,24.63,MARKET,48564,0.289502,2021-01-29T17:43:21.000Z,2021-01-29T17:59:17.000Z,184.22,0.38,Rejected
514553,22.195,BUY,SLB,990,MARKET,38525,44.584553,2021-01-29T18:37:53.000Z,2021-01-29T18:37:54.000Z,4848,10,Filled
515134,1.96,BUY,YTRA,2.07,MARKET,29423,1.055356979,2021-01-29T19:24:25.000Z,2021-01-29T19:24:25.000Z,14.54,0.03,Filled
515364,9.5,BUY,KODK,1.97,MARKET,8716,0.207368,2021-01-29T19:42:21.000Z,2021-01-29T19:42:22.000Z,14.54,0.03,Filled
515506,12.835,BUY,AMC,13,MARKET,46640,1.004014969,2021-01-29T19:58:15.000Z,2021-01-29T19:58:16.000Z,96.96,0.2,Canceled
515532,13.8,BUY,CLOV,13.8,LIMIT,40469,1,2021-01-29T20:00:43.000Z,2021-01-29T20:06:00.000Z,101.81,0.21,Canceled
516008,324.34,SELL,GME,0.012891851,MARKET,71176,0.00003971,2021-01-29T20:49:28.000Z,2021-01-29T20:49:29.000Z,0,0,Filled
513125,61.5,SELL,UBER,123,LIMIT,34739,2,2021-01-29T17:09:27.000Z,2021-01-29T21:00:08.000Z,892.03,1.84,Canceled
512760,1.85,BUY,ESGC,18.5,LIMIT,61801,10,2021-01-29T16:48:51.000Z,2021-01-29T21:17:41.000Z,135.74,0.28,Canceled
508853,193.6,BUY,GME,985,MARKET,11958,5.08781004,2021-01-29T13:54:16.000Z,2021-01-29T14:48:24.000Z,7181.7,15,Filled
510363,178.34,BUY,MRNA,24.68,MARKET,33006,0.137795001,2021-01-29T14:56:07.000Z,2021-01-29T14:56:08.000Z,158,0.33,Filled
509734,13.5,BUY,AMC,49.25,MARKET,59795,3.697447062,2021-01-29T14:42:20.000Z,2021-01-29T15:01:39.000Z,359.08,0.75,Canceled
509927,2.945,BUY,QEP,9.85,MARKET,24883,3.316498041,2021-01-29T14:46:12.000Z,2021-01-29T15:04:50.000Z,71.82,0.15,Filled
511371,312.77,BUY,GME,49.25,MARKET,23414,0.157228,2021-01-29T15:32:50.000Z,2021-01-29T15:32:50.000Z,363.6,0.75,Filled
511786,340,BUY,GME,297,MARKET,18390,0.87677902,2021-01-29T15:54:47.000Z,2021-01-29T15:54:47.000Z,1454.4,3,Rejected
512673,816.94,SELL,TSLA,36812.7,MARKET,21530,45,2021-01-29T16:43:58.000Z,2021-01-29T16:44:10.000Z,178469.42,368.13,Filled
512766,14.23,BUY,AMC,39.4,MARKET,53522,2.755245,2021-01-29T16:49:14.000Z,2021-01-29T16:49:33.000Z,290.88,0.6,Filled
510859,30,SELL,CCIV,90,LIMIT,6218,3,2021-01-29T15:10:39.000Z,2021-01-29T17:01:21.000Z,646.35,1.35,Canceled
513791,14.61,SELL,BB,33.223484,MARKET,5641,2.25702998,2021-01-29T17:48:01.000Z,2021-01-29T17:48:52.000Z,242.4,0.5,Filled
514557,298.98,BUY,GME,9.85,MARKET,95699,0.033073999,2021-01-29T18:37:58.000Z,2021-01-29T18:37:59.000Z,72.72,0.15,Filled
514985,2.37,BUY,CHS,2.75,MARKET,59556,1.159556985,2021-01-29T19:09:24.000Z,2021-01-29T19:09:25.000Z,19.39,0.04,Filled
515052,3209.28,SELL,AMZN,51.32352,MARKET,49314,0.016000001,2021-01-29T19:18:38.000Z,2021-01-29T19:18:38.000Z,247.25,0.51,Filled
515176,12.04,SELL,AMC,12.1,MARKET,31906,1,2021-01-29T19:27:32.000Z,2021-01-29T19:35:15.000Z,87.26,0.18,Filled
515508,4.53,SELL,NOK,9.200104,MARKET,97521,2.03092783,2021-01-29T19:58:33.000Z,2021-01-29T19:58:33.000Z,67.87,0.14,Filled
513134,11,BUY,ERIC,11,LIMIT,42725,1,2021-01-29T17:09:53.000Z,2021-01-29T20:49:44.000Z,77.57,0.16,Canceled
513650,8,BUY,AMC,80,LIMIT,21017,10,2021-01-29T17:40:11.000Z,2021-01-29T21:17:42.000Z,581.76,1.2,Canceled
508240,4,BUY,NOK,280,LIMIT,80358,70,2021-01-29T09:14:16.000Z,2021-01-29T21:17:43.000Z,2010.88,4.2,Canceled
510293,22.26,SELL,BTBT,123.2290062,MARKET,73065,5.50621118,2021-01-29T14:54:20.000Z,2021-01-29T15:06:51.000Z,885.74,1.85,Rejected
510779,314.68,SELL,GME,314.68,MARKET,24818,1,2021-01-29T15:07:57.000Z,2021-01-29T15:07:57.000Z,2259.84,4.72,Rejected
511324,12.875,SELL,ERIC,31.44676,MARKET,19983,2.44626743,2021-01-29T15:29:46.000Z,2021-01-29T15:30:50.000Z,227.86,0.47,Filled
511265,12.44,SELL,AMC,12.43,MARKET,22309,1,2021-01-29T15:27:18.000Z,2021-01-29T15:38:13.000Z,92.11,0.19,Rejected
511538,326.59,SELL,GME,1255.8544,MARKET,59124,3.86500001,2021-01-29T15:42:42.000Z,2021-01-29T15:42:42.000Z,9133.63,18.84,Rejected
511748,343.99,BUY,GME,7.88,MARKET,54373,0.022863001,2021-01-29T15:53:10.000Z,2021-01-29T15:53:10.000Z,58.18,0.12,Filled
512396,13.14,BUY,CODX,9.85,MARKET,36085,0.749619007,2021-01-29T16:27:34.000Z,2021-01-29T16:27:34.000Z,72.72,0.15,Filled
512676,133.795,BUY,NKE,5.91,MARKET,97516,0.044154,2021-01-29T16:44:06.000Z,2021-01-29T16:44:07.000Z,43.63,0.09,Filled
512856,48.37,BUY,SPCE,7.88,MARKET,60795,0.162910998,2021-01-29T16:55:15.000Z,2021-01-29T16:55:15.000Z,58.18,0.12,Filled
513516,14.62,BUY,AMC,14.59,MARKET,62338,0.985,2021-01-29T17:32:51.000Z,2021-01-29T17:43:42.000Z,106.66,0.22,Filled
513775,786.89,BUY,TSLA,308.67,MARKET,50979,0.393348,2021-01-29T17:47:26.000Z,2021-01-29T17:47:26.000Z,2278.82,4.7,Filled
513957,0.7251,BUY,ADXS,43.34,MARKET,75459,59.77106476,2021-01-29T17:56:48.000Z,2021-01-29T17:56:48.000Z,319.97,0.66,Rejected
514226,38.655,SELL,BLOK,217.2088706,MARKET,72936,5.61989316,2021-01-29T18:12:34.000Z,2021-01-29T18:12:35.000Z,1580.45,3.26,Filled
514560,48.16,BUY,XPEV,14.78,MARKET,68854,0.306981,2021-01-29T18:38:17.000Z,2021-01-29T18:38:17.000Z,106.66,0.22,Filled
514612,13.19,SELL,AMC,41.1120864,MARKET,39766,3.114552,2021-01-29T18:41:34.000Z,2021-01-29T18:41:34.000Z,300.58,0.62,Filled
514659,295.885,SELL,GME,77.81694,MARKET,83542,0.26181597,2021-01-29T18:44:42.000Z,2021-01-29T18:44:42.000Z,567.22,1.17,Filled
514683,21.49,BUY,FCEL,66,MARKET,63881,3.053910017,2021-01-29T18:45:48.000Z,2021-01-29T18:45:49.000Z,484.8,1,Filled
514884,790.72,BUY,TSLA,29.55,MARKET,38940,0.037365001,2021-01-29T18:59:20.000Z,2021-01-29T18:59:20.000Z,218.16,0.45,Filled
515436,2.79,BUY,GORO,5.5,MARKET,84074,1.970000029,2021-01-29T19:51:01.000Z,2021-01-29T19:51:01.000Z,38.78,0.08,Filled
515512,23.785,SELL,NLS,380.56,MARKET,5095,16,2021-01-29T19:58:46.000Z,2021-01-29T19:58:46.000Z,2768.21,5.71,Filled
515894,35.41,SELL,CHUY,284.4292,MARKET,33695,8.03245436,2021-01-29T20:42:15.000Z,2021-01-29T20:42:16.000Z,1376.83,2.84,Filled
515905,11.63,BUY,VXRT,12.19,MARKET,86619,1.041041017,2021-01-29T20:43:19.000Z,2021-01-29T20:43:19.000Z,90,0.19,Filled
92,300,BUY,AAPL,304.5,LIMIT,625,2,2019-11-01T20:53:41.000Z,2019-11-01T20:53:44.000Z,1636.2,4.5,Rejected
507765,8.63,BUY,AMC,17.24,MARKET,27353,1.997393012,2021-01-28T21:31:54.000Z,2021-01-29T14:47:54.000Z,124.48,0.26,Canceled
510014,14.035,SELL,AMC,60.56839,MARKET,46237,4.338709831,2021-01-29T14:47:56.000Z,2021-01-29T14:47:57.000Z,435.69,0.91,Rejected
509587,59.37,SELL,NIO,2004.905685,MARKET,20228,33.7185618,2021-01-29T14:39:47.000Z,2021-01-29T15:00:41.000Z,14396.91,30.07,Filled
510766,36.26,BUY,PLTR,9.85,MARKET,23410,0.271499008,2021-01-29T15:07:26.000Z,2021-01-29T15:07:26.000Z,71.82,0.15,Filled
510377,12.95,BUY,AMC,10.84,MARKET,61416,0.839272022,2021-01-29T14:56:25.000Z,2021-01-29T15:07:47.000Z,76.6,0.16,Filled
510785,44.49,SELL,SPCE,0.477128804,MARKET,6491,0.01077405,2021-01-29T15:08:07.000Z,2021-01-29T15:08:08.000Z,4.79,0.01,Filled
512683,132.425,BUY,AAPL,98.5,MARKET,35649,0.744575977,2021-01-29T16:44:31.000Z,2021-01-29T16:44:32.000Z,727.2,1.5,Filled
512912,14.85,BUY,AMC,29.55,MARKET,60021,2.072230101,2021-01-29T16:58:06.000Z,2021-01-29T17:00:09.000Z,218.16,0.45,Filled
513112,15.66,BUY,AMC,8.87,MARKET,68480,0.557897985,2021-01-29T17:08:22.000Z,2021-01-29T17:08:40.000Z,67.87,0.14,Filled
513597,215.68,BUY,NVAX,6.1,MARKET,98480,0.028284,2021-01-29T17:36:57.000Z,2021-01-29T17:36:57.000Z,45,0.09,Filled
513725,12.83,SELL,INO,2.0608,MARKET,56956,0.159999996,2021-01-29T17:44:57.000Z,2021-01-29T17:44:58.000Z,14.54,0.03,Filled
513950,98.95,BUY,DDOG,59.1,MARKET,18708,0.597211003,2021-01-29T17:56:26.000Z,2021-01-29T17:56:26.000Z,436.32,0.9,Filled
514009,57.12,BUY,NIO,1069.2,MARKET,1262,18.74145508,2021-01-29T17:59:00.000Z,2021-01-29T17:59:20.000Z,5235.84,10.8,Filled
514566,48.17,BUY,XPEV,47.28,MARKET,55909,0.981728017,2021-01-29T18:38:37.000Z,2021-01-29T18:38:37.000Z,349.06,0.72,Filled
514615,2.43,BUY,CHS,49.25,MARKET,70065,20.26749039,2021-01-29T18:41:50.000Z,2021-01-29T18:41:51.000Z,363.6,0.75,Filled
515431,297.68,BUY,GME,495,MARKET,1706,1.662858963,2021-01-29T19:50:47.000Z,2021-01-29T19:50:47.000Z,2424,5,Filled
515513,24.995,BUY,SLV,8.91,MARKET,97521,0.356640995,2021-01-29T19:58:54.000Z,2021-01-29T19:58:54.000Z,67.87,0.14,Filled
515706,133.11,SELL,AAPL,27.415764,MARKET,43757,0.20593228,2021-01-29T20:23:39.000Z,2021-01-29T20:23:39.000Z,198.77,0.41,Filled
516016,16.62,BUY,HYLN,16.38,MARKET,63015,0.985000014,2021-01-29T20:50:14.000Z,2021-01-29T20:50:15.000Z,121.2,0.25,Filled
516054,6.29,BUY,ET,6.2,MARKET,86665,0.985,2021-01-29T20:52:17.000Z,2021-01-29T20:52:17.000Z,43.63,0.09,Filled
516061,250,SELL,GME,500,STOP,11958,2,2021-01-29T20:52:47.000Z,2021-02-01T15:22:21.000Z,3636,7.5,Filled
512687,334,SELL,GME,305.82147,MARKET,95139,0.92066379,2021-01-29T16:44:48.000Z,2021-01-29T16:44:48.000Z,2225.23,4.59,Filled
512727,56.455,BUY,CSIQ,19.7,MARKET,27686,0.34895,2021-01-29T16:46:59.000Z,2021-01-29T16:46:59.000Z,145.44,0.3,Filled
512797,36.49,SELL,WKHS,181.90001,MARKET,64176,5,2021-01-29T16:51:22.000Z,2021-01-29T16:51:22.000Z,1323.5,2.73,Rejected
513015,370.86,BUY,ZM,9.85,MARKET,76609,0.02657,2021-01-29T17:03:33.000Z,2021-01-29T17:03:34.000Z,72.72,0.15,Filled
513521,5.37,SELL,OPK,0.036560185,MARKET,43090,0.00675789,2021-01-29T17:33:06.000Z,2021-01-29T17:33:06.000Z,0,0,Filled
514567,308.75,SELL,GME,8.719764605,MARKET,98420,0.02830541,2021-01-29T18:38:45.000Z,2021-01-29T18:38:45.000Z,63.02,0.13,Filled
514703,91.07,BUY,VYM,39.6,MARKET,51104,0.43483001,2021-01-29T18:47:02.000Z,2021-01-29T18:47:03.000Z,193.92,0.4,Filled
514871,50.065,BUY,EHTH,51.22,MARKET,70065,1.02235496,2021-01-29T18:58:36.000Z,2021-01-29T18:58:36.000Z,378.14,0.78,Filled
514825,2.8,BUY,TELL,280,LIMIT,60514,100,2021-01-29T18:55:53.000Z,2021-01-29T19:03:01.000Z,1357.44,2.8,Rejected
515517,19.02,BUY,DMYD,492.5,MARKET,96689,25.85980606,2021-01-29T19:59:02.000Z,2021-01-29T19:59:03.000Z,3636,7.5,Filled
515705,6.06,SELL,EXPR,44.215553,MARKET,21270,7.29629629,2021-01-29T20:23:37.000Z,2021-01-29T20:23:37.000Z,319.97,0.66,Filled
505393,10.34,SELL,AMC,17.974072,MARKET,93818,1.74336283,2021-01-28T17:43:25.000Z,2021-01-29T14:33:37.000Z,129.27,0.27,Rejected
509082,397.49,BUY,GME,9.85,MARKET,33073,0.02482,2021-01-29T14:31:00.000Z,2021-01-29T14:34:05.000Z,71.82,0.15,Rejected
508867,2.42,BUY,SENS,2.42,LIMIT,45150,1,2021-01-29T13:57:56.000Z,2021-01-29T14:51:28.000Z,9.58,0.02,Filled
510370,333.355,BUY,GME,9.85,MARKET,97523,0.029484,2021-01-29T14:56:16.000Z,2021-01-29T14:56:47.000Z,71.82,0.15,Filled
510590,5.79,BUY,EXPR,6.89,MARKET,71419,1.16568,2021-01-29T15:02:42.000Z,2021-01-29T15:17:54.000Z,47.88,0.1,Filled
510992,10.55,SELL,VXRT,20.79782993,MARKET,89481,1.98263393,2021-01-29T15:15:33.000Z,2021-01-29T15:23:02.000Z,150.29,0.31,Canceled
512574,149.045,SELL,LMND,16.059902,MARKET,16077,0.10725909,2021-01-29T16:37:51.000Z,2021-01-29T16:37:52.000Z,116.35,0.24,Filled
512647,14.03,BUY,AMC,14.78,MARKET,77560,1.045647979,2021-01-29T16:42:13.000Z,2021-01-29T16:42:18.000Z,106.66,0.22,Filled
512694,132.34,SELL,AAPL,33.0975,MARKET,24361,0.25,2021-01-29T16:45:11.000Z,2021-01-29T16:45:11.000Z,242.4,0.5,Filled
513274,3202.71,BUY,AMZN,2.9,MARKET,4064,0.000904,2021-01-29T17:19:04.000Z,2021-01-29T17:19:04.000Z,21.39,0.04,Filled
513351,314.49,BUY,MA,1.97,MARKET,90677,0.006246,2021-01-29T17:23:01.000Z,2021-01-29T17:23:01.000Z,14.54,0.03,Filled
513868,2.78,SELL,TELL,17236,MARKET,21939,6200,2021-01-29T17:51:20.000Z,2021-01-29T17:56:14.000Z,83560.13,172.36,Filled
514568,13.305,SELL,AMC,12.897897,MARKET,97850,0.98382126,2021-01-29T18:38:46.000Z,2021-01-29T18:38:46.000Z,92.11,0.19,Filled
514570,88,BUY,DQ,49.25,MARKET,48564,0.559659,2021-01-29T18:38:48.000Z,2021-01-29T18:38:48.000Z,363.6,0.75,Rejected
514853,362.295,BUY,ZM,2.46,MARKET,27881,0.006792,2021-01-29T18:57:34.000Z,2021-01-29T18:57:35.000Z,19.39,0.04,Filled
515026,5.635,BUY,EXPR,4.92,MARKET,95542,0.87400198,2021-01-29T19:16:03.000Z,2021-01-29T19:16:03.000Z,33.94,0.07,Filled
508870,14.65,BUY,BB,492.5,MARKET,55501,33.617747,2021-01-29T13:59:07.000Z,2021-01-29T14:52:35.000Z,3590.85,7.5,Filled
510389,454.19,BUY,SIVB,24.68,MARKET,33006,0.054327,2021-01-29T14:56:52.000Z,2021-01-29T14:56:52.000Z,158,0.33,Filled
510448,12.96,SELL,AMC,12.79,MARKET,87784,1,2021-01-29T14:58:33.000Z,2021-01-29T15:18:06.000Z,90.97,0.19,Filled
513122,15.65,BUY,AMC,7.61,MARKET,76137,0.486209989,2021-01-29T17:09:14.000Z,2021-01-29T17:09:41.000Z,58.18,0.12,Filled
513872,131.04,BUY,AAPL,0.3,MARKET,5641,0.002257,2021-01-29T17:51:47.000Z,2021-01-29T17:51:47.000Z,0,0,Filled
509878,19.54,BUY,LAC,195.4,LIMIT,17535,10,2021-01-29T14:45:05.000Z,2021-01-29T17:53:10.000Z,933.62,1.95,Filled
514292,14.9,BUY,BB,117.81,MARKET,44604,7.875,2021-01-29T18:18:17.000Z,2021-01-29T18:18:18.000Z,576.91,1.19,Filled
514692,12.95,BUY,AMC,147.75,MARKET,95639,11.347926,2021-01-29T18:46:20.000Z,2021-01-29T18:46:21.000Z,1090.8,2.25,Filled
514575,0.172,BUY,DOFSQ,25.66,MARKET,85275,149.1816864,2021-01-29T18:39:07.000Z,2021-01-29T18:47:13.000Z,189.07,0.39,Rejected
514925,287.5,SELL,GME,1552.7855,MARKET,84831,5.404564857,2021-01-29T19:02:39.000Z,2021-01-29T19:19:33.000Z,11290.99,23.29,Rejected
515248,3.69,SELL,ABUS,11.633497,MARKET,70093,3.15270935,2021-01-29T19:33:34.000Z,2021-01-29T19:33:35.000Z,82.42,0.17,Filled
515404,6.99,BUY,MVIS,98.5,MARKET,19079,14.091559,2021-01-29T19:47:05.000Z,2021-01-29T19:47:08.000Z,727.2,1.5,Filled
510396,2.8,BUY,CHS,4.43,MARKET,45150,1.623600006,2021-01-29T14:57:02.000Z,2021-01-29T15:09:01.000Z,19.15,0.04,Filled
511085,12.7,BUY,AMC,20.68,MARKET,82943,1.639065,2021-01-29T15:19:05.000Z,2021-01-29T15:24:06.000Z,155.14,0.32,Filled
510809,7,SELL,EXPR,476,LIMIT,46308,68,2021-01-29T15:08:57.000Z,2021-01-29T15:56:16.000Z,3418.49,7.14,Canceled
512720,333.835,BUY,GME,4950,MARKET,21530,14.827684,2021-01-29T16:46:32.000Z,2021-01-29T16:46:48.000Z,24240,50,Filled
510617,19,BUY,EHTH,19,LIMIT,76870,1,2021-01-29T15:03:24.000Z,2021-01-29T17:01:17.000Z,134.06,0.28,Canceled
512953,14.76,BUY,AMC,198,MARKET,18390,13.441955,2021-01-29T17:00:02.000Z,2021-01-29T17:11:56.000Z,969.6,2,Rejected
513049,358.44,BUY,GME,90.62,MARKET,42508,0.259827,2021-01-29T17:05:11.000Z,2021-01-29T17:12:09.000Z,669.02,1.38,Filled
512705,21,SELL,MARA,21,STOP,61801,1,2021-01-29T16:45:42.000Z,2021-01-29T17:13:06.000Z,155.14,0.32,Filled
513946,2.4,BUY,SENS,0.3,MARKET,5641,0.122106999,2021-01-29T17:56:16.000Z,2021-01-29T17:56:16.000Z,0,0,Filled
513973,2.4,BUY,SENS,0.3,MARKET,5641,0.123125002,2021-01-29T17:57:34.000Z,2021-01-29T17:57:35.000Z,0,0,Filled
514577,13.2,BUY,AMC,4.21,MARKET,78568,0.316713005,2021-01-29T18:39:15.000Z,2021-01-29T18:39:15.000Z,29.09,0.06,Filled
515470,29.035,BUY,WISH,49.25,MARKET,21742,1.696228981,2021-01-29T19:55:35.000Z,2021-01-29T19:55:36.000Z,363.6,0.75,Filled
515518,223.245,BUY,NVAX,19.7,MARKET,98648,0.088304996,2021-01-29T19:59:03.000Z,2021-01-29T19:59:04.000Z,145.44,0.3,Filled
516003,323.105,BUY,GME,313.25,MARKET,61662,0.985000014,2021-01-29T20:49:02.000Z,2021-01-29T20:49:02.000Z,2312.5,4.77,Filled
516091,3.845,BUY,BTU,3.76,MARKET,96306,0.986290991,2021-01-29T20:54:37.000Z,2021-01-29T20:54:37.000Z,29.09,0.06,Filled
509977,16.19,SELL,BB,1.616,MARKET,84759,0.1,2021-01-29T14:47:08.000Z,2021-01-29T14:47:08.000Z,9.58,0.02,Rejected
510490,198.61,BUY,NVAX,12.8,MARKET,64595,0.064292997,2021-01-29T14:59:31.000Z,2021-01-29T15:00:34.000Z,95.76,0.2,Filled
509926,11.145,BUY,CRIS,32.83,MARKET,96813,2.955,2021-01-29T14:46:12.000Z,2021-01-29T15:04:32.000Z,239.39,0.5,Filled
510400,3.745,SELL,WATT,93.625,MARKET,27481,25,2021-01-29T14:57:15.000Z,2021-01-29T15:09:04.000Z,670.29,1.4,Filled
510805,60.2,SELL,NIO,301,LIMIT,80775,5,2021-01-29T15:08:52.000Z,2021-01-29T15:31:32.000Z,2159.3,4.51,Filled
511713,1.805,BUY,PHUN,2970,MARKET,34209,1645.429321,2021-01-29T15:51:13.000Z,2021-01-29T15:51:14.000Z,14544,30,Filled
512702,14.27,BUY,AMC,49.25,MARKET,48193,3.451296091,2021-01-29T16:45:34.000Z,2021-01-29T16:45:42.000Z,363.6,0.75,Filled
507998,14.65,BUY,BB,29.3,LIMIT,82239,2,2021-01-29T03:17:17.000Z,2021-01-29T17:30:10.000Z,210.66,0.44,Canceled
514070,20.9,SELL,MARA,25.519764,MARKET,44015,1.218999982,2021-01-29T18:02:28.000Z,2021-01-29T18:02:28.000Z,184.22,0.38,Rejected
514578,57.44,BUY,NIO,7.72,MARKET,55909,0.134349003,2021-01-29T18:39:15.000Z,2021-01-29T18:39:16.000Z,58.18,0.12,Filled
514847,532.12,SELL,NFLX,17.46,MARKET,88186,0.03280086,2021-01-29T18:57:09.000Z,2021-01-29T18:57:10.000Z,126.95,0.26,Filled
514987,4.655,SELL,NOK,17.242,MARKET,72237,3.7,2021-01-29T19:09:41.000Z,2021-01-29T19:09:42.000Z,126.05,0.26,Filled
515290,12.565,SELL,AMC,63,MARKET,18769,5,2021-01-29T19:36:27.000Z,2021-01-29T19:36:27.000Z,455.71,0.94,Filled
515340,131.39,SELL,AAPL,4.7302685,MARKET,51533,0.03599912,2021-01-29T19:40:18.000Z,2021-01-29T19:40:18.000Z,33.94,0.07,Filled
515343,136.27,SELL,ARKK,197.60938,MARKET,30098,1.45013123,2021-01-29T19:40:43.000Z,2021-01-29T19:40:44.000Z,1435.01,2.96,Filled
515519,57.07,SELL,NIO,310.29663,MARKET,18581,5.43902949,2021-01-29T19:59:04.000Z,2021-01-29T19:59:05.000Z,2254.32,4.65,Filled
